No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization
1,Hero + Features + CTA,"hero, features, cta","1. Hero, 2. Features (3-5), 3. CTA, 4. Footer",Hero (sticky) + Bottom,Hero: Brand primary. Features: Card bg #FAFAFA. CTA: Contrasting accent,"Hero parallax, card hover lift, CTA glow",Deep CTA placement. Contrasting color (7:1).
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, trust, cta","1. Hero, 2. Problem, 3. Solution, 4. Testimonials, 5. CTA",Hero (sticky) + Post-testimonials,"Hero: Brand. Testimonials: Light #F5F5F5. CTA: Vibrant","Testimonial carousel, quote animations, avatar fade-in",Social proof before CTA. 3-5 testimonials.
3,Product Demo + Features,"demo, product-demo, features, showcase","1. Hero, 2. Product video/mockup, 3. Features, 4. Comparison, 5. CTA",Video center + CTA right/bottom,Video surround: Brand overlay. Features: Icon #0080FF. Text: Dark #222,"Video pulse, feature scroll reveals, demo highlights",Embedded demo increases engagement. Auto-play muted.
4,Minimal Single Column,"minimal, simple, clean, single-column","1. Hero headline, 2. Description, 3. Benefits (3 max), 4. CTA, 5. Footer",Center large CTA,Minimalist: Brand + white + accent. Buttons: 7:1+. Text: Dark grey,"Minimal hover, smooth scroll, CTA scale",Single CTA focus. Large typography. Lots of whitespace.
5,Funnel (3-Step Conversion),"funnel, conversion, steps, wizard, onboarding","1. Hero, 2. Step 1 (problem), 3. Step 2 (solution), 4. Step 3 (action), 5. CTA",Each step mini-CTA + final main CTA,"Step colors: Red/Orange/Green. CTA: Brand","Step number animations, progress bar, step transitions",Progressive disclosure. Show only essential info per step.
6,Comparison Table + CTA,"comparison, table, compare, versus","1. Hero, 2. Problem, 3. Comparison table, 4. Pricing, 5. CTA",Table right column + below,Table alternating rows. Your product highlighted #FFFACD,"Table row hover, price toggle, checkmark animations",Compare to show unique value. Highlight your row.
7,Lead Magnet + Form,"lead, form, signup, capture, email","1. Hero (benefit), 2. Lead magnet preview, 3. Form (minimal), 4. Submit CTA",Form CTA: Submit button,Lead magnet: Pro design. Form: Clean white. Inputs: Light border #CCC. CTA: Brand,"Form focus states, input validation, success animation",Form fields <= 3. Offer valuable preview.
8,Pricing Page + CTA,"pricing, plans, tiers, comparison","1. Hero (headline), 2. Price cards, 3. Feature table, 4. FAQ, 5. Final CTA",Each card CTA + Sticky nav,Free: Grey. Starter: Blue. Pro: Green/Gold. Enterprise: Dark,"Price toggle (monthly/yearly), card highlight, FAQ accordion",Recommend starter plan. Show annual discount 20-30%.
9,Video-First Hero,"video, hero, media, visual","1. Hero video background, 2. Features overlay, 3. Benefits, 4. CTA",Overlay on video + bottom,60% dark overlay on video. Brand accent for CTA. White text,"Video autoplay muted, parallax scroll, text fade-in",86% higher engagement. Captions for accessibility.
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story","1. Intro hook, 2. Chapter 1, 3. Chapter 2, 4. Chapter 3, 5. Climax CTA",Each chapter mini-CTA + final climax,Progressive reveal. Each chapter distinct color. Building intensity,"ScrollTrigger animations, parallax, progressive disclosure",Narrative increases time-on-page 3x. Progress indicator.
11,Bento Grid Showcase,"bento, grid, features, modular","1. Hero, 2. Bento Grid, 3. Detail Cards, 4. Specs, 5. CTA",Floating action button + bottom of grid,"Card backgrounds #F5F5F7 or glass. Icons: Vibrant brand. Text: Dark","Hover card scale 1.02, staggered reveal, video in cards",Scannable value props. High density without clutter.
12,Before-After Transformation,"before-after, transformation, results","1. Hero (problem), 2. Slider comparison, 3. How it works, 4. Results CTA",After transformation + bottom,"Before: muted/grey. After: vibrant/colorful. Success green","Slider interaction, reveal animations, result counters",45% higher conversion. Real results. Specific metrics.
